ID,Topic,Difficulty,Question,Option1,Correct1,Option2,Correct2,Option3,Correct3,Option4,Correct4
0,geography,EASY,What is the capital of France. ,Rome,FALSE,Madrid,FALSE,Paris,TRUE,Berlin,FALSE
1,geography,EASY,Which continent is known as the Dark Continent. ,Europe,FALSE,Australia,FALSE,Africa,TRUE,Asia,FALSE
2,geography,EASY,What is the largest ocean on Earth. ,Indian Ocean,FALSE,Arctic Ocean,FALSE,Pacific Ocean,TRUE,Atlantic Ocean,FALSE
3,geography,EASY,Which country has the most natural lakes. ,USA,FALSE,Canada,TRUE,India,FALSE,Russia,FALSE
4,geography,EASY,What is the longest river in the world. ,Nile River,FALSE,Yangtze River,FALSE,Amazon River,TRUE,Mississippi River,FALSE
5,geography,EASY,Which country is known as the Land of the Rising Sun. ,China,FALSE,Korea,FALSE,Japan,TRUE,Thailand,FALSE
6,geography,EASY,What is the smallest country in the world. ,Nauru,FALSE,San Marino,FALSE,Vatican City,TRUE,Monaco,FALSE
7,geography,EASY,Which desert is the largest in the world. ,Antarctic,FALSE,Sahara,FALSE,Arctic,TRUE,Gobi,FALSE
8,geography,EASY,What is the capital of Australia. ,Brisbane,FALSE,Canberra,TRUE,Melbourne,FALSE,Sydney,FALSE
9,geography,EASY,Which ocean is the Bermuda Triangle located in. ,Arctic Ocean,FALSE,Pacific Ocean,FALSE,Atlantic Ocean,TRUE,Indian Ocean,FALSE
10,geography,EASY,What is the highest mountain in the world. ,Lhotse,FALSE,Mount Everest,TRUE,Kangchenjunga,FALSE,K2,FALSE
11,geography,EASY,Which river flows through London. ,Thames,TRUE,Seine,FALSE,Rhine,FALSE,Danube,FALSE
12,geography,EASY,What is the capital of Canada. ,Montreal,FALSE,Toronto,FALSE,Ottawa,TRUE,Vancouver,FALSE
13,geography,EASY,Which country is famous for kangaroos. ,Australia,TRUE,India,FALSE,USA,FALSE,South Africa,FALSE
14,geography,EASY,What is the largest country in the world. ,Canada,FALSE,Russia,TRUE,USA,FALSE,China,FALSE
15,geography,EASY,Which continent has the largest number of countries. ,Europe,FALSE,South America,FALSE,Asia,FALSE,Africa,TRUE
16,geography,EASY,What is the longest river in Europe. ,Danube,FALSE,Volga,TRUE,Rhine,FALSE,Seine,FALSE
17,geography,EASY,Which mountain range separates Europe and Asia. ,Rocky Mountains,FALSE,Himalayas,FALSE,Ural Mountains,TRUE,Andes,FALSE
18,geography,EASY,What is the capital of Italy. ,Naples,FALSE,Rome,TRUE,Venice,FALSE,Milan,FALSE
19,geography,EASY,Which is the smallest continent by land area. ,South America,FALSE,Antarctica,FALSE,Australia,TRUE,Europe,FALSE
20,geography,EASY,Which country has the most volcanoes. ,Indonesia,TRUE,Italy,FALSE,Japan,FALSE,USA,FALSE
21,geography,EASY,What is the capital of Egypt. ,Giza,FALSE,Luxor,FALSE,Cairo,TRUE,Alexandria,FALSE
22,geography,EASY,Which sea is the saltiest. ,Dead Sea,TRUE,Red Sea,FALSE,Black Sea,FALSE,Caspian Sea,FALSE
23,geography,EASY,What is the largest desert in North America. ,Great Basin,TRUE,Mojave,FALSE,Sonoran,FALSE,Gobi,FALSE
24,geography,EASY,Which continent is the Andes mountain range located in. ,South America,TRUE,North America,FALSE,Asia,FALSE,Africa,FALSE
25,geography,EASY,What is the capital of Brazil. ,Sao Paulo,FALSE,Brasilia,TRUE,Rio de Janeiro,FALSE,Salvador,FALSE
26,geography,EASY,Which country is known for its pyramids. ,Greece,FALSE,Mexico,FALSE,Egypt,TRUE,China,FALSE
27,geography,EASY,What is the capital of Germany. ,Berlin,TRUE,Munich,FALSE,Hamburg,FALSE,Frankfurt,FALSE
28,geography,EASY,Which ocean is the Great Barrier Reef located in. ,Indian Ocean,FALSE,Atlantic Ocean,FALSE,Pacific Ocean,TRUE,Arctic Ocean,FALSE
29,geography,EASY,What is the largest island in the world. ,Greenland,TRUE,Borneo,FALSE,Australia,FALSE,New Guinea,FALSE
30,geography,EASY,Which country is home to the kangaroo. ,Australia,TRUE,South Africa,FALSE,New Zealand,FALSE,USA,FALSE
31,geography,EASY,What is the capital of Russia. ,Novosibirsk,FALSE,Kazan,FALSE,Moscow,TRUE,Saint Petersburg,FALSE
32,geography,EASY,Which river is the longest in Asia. ,Indus,FALSE,Yangtze,TRUE,Mekong,FALSE,Ganges,FALSE
33,geography,EASY,What is the capital of India. ,Mumbai,FALSE,Kolkata,FALSE,Chennai,FALSE,New Delhi,TRUE
34,geography,EASY,Which country has the largest population. ,China,TRUE,India,FALSE,USA,FALSE,Brazil,FALSE
35,geography,EASY,What is the capital of Spain. ,Barcelona,FALSE,Seville,FALSE,Valencia,FALSE,Madrid,TRUE
36,geography,EASY,"Which mountain is known as the ""Roof of the World."" ",Himalayas,FALSE,Kangchenjunga,FALSE,K2,FALSE,Tibet,TRUE
37,geography,EASY,Which river runs through Egypt. ,Mississippi,FALSE,Amazon,FALSE,Nile,TRUE,Danube,FALSE
38,geography,EASY,What is the capital of South Africa. ,Bloemfontein,FALSE,Pretoria,TRUE,Durban,FALSE,Cape Town,FALSE
39,geography,EASY,What is the world's largest coral reef system. ,Florida Keys,FALSE,Great Barrier Reef,TRUE,Andros Barrier Reef,FALSE,Red Sea Coral Reef,FALSE
40,geography,EASY,Which country is known for the Eiffel Tower. ,Spain,FALSE,France,TRUE,Italy,FALSE,USA,FALSE
41,geography,EASY,What is the main language spoken in Brazil. ,Spanish,FALSE,Portuguese,TRUE,French,FALSE,English,FALSE
42,geography,EASY,Which continent is the Sahara Desert located in. ,Asia,FALSE,North America,FALSE,Australia,FALSE,Africa,TRUE
43,geography,EASY,What is the capital of Japan. ,Nagoya,FALSE,Osaka,FALSE,Yokohama,FALSE,Tokyo,TRUE
44,geography,EASY,Which river flows through Paris. ,Rhine,FALSE,Seine,TRUE,Thames,FALSE,Danube,FALSE
45,geography,EASY,What is the capital of Thailand. ,Bangkok,TRUE,Phuket,FALSE,Chiang Mai,FALSE,Pattaya,FALSE
46,geography,EASY,Which city is known as the Big Apple. ,Chicago,FALSE,Los Angeles,FALSE,New York City,TRUE,Houston,FALSE
47,geography,EASY,What is the capital of Mexico. ,Mexico City,TRUE,Cancun,FALSE,Guadalajara,FALSE,Monterrey,FALSE
48,geography,EASY,Which mountain range is Mount Everest part of. ,Alps,FALSE,Andes,FALSE,Himalayas,TRUE,Rocky Mountains,FALSE
49,geography,EASY,Which country is famous for its tulips. ,France,FALSE,Belgium,FALSE,Germany,FALSE,Netherlands,TRUE
50,geography,EASY,What is the capital of Argentina. ,Bogota,FALSE,Lima,FALSE,Buenos Aires,TRUE,Santiago,FALSE
51,geography,EASY,Which is the largest continent. ,Asia,TRUE,Africa,FALSE,Europe,FALSE,North America,FALSE
52,geography,EASY,What is the currency of Japan. ,Yuan,FALSE,Won,FALSE,Dollar,FALSE,Yen,TRUE
53,geography,EASY,What is the capital city of Kenya. ,Nairobi,TRUE,Accra,FALSE,Lagos,FALSE,Cairo,FALSE
54,geography,EASY,Which country is known for its fjords. ,Finland,FALSE,Sweden,FALSE,Denmark,FALSE,Norway,TRUE
55,geography,EASY,What is the capital of Greece. ,Rhodes,FALSE,Athens,TRUE,Thessaloniki,FALSE,Crete,FALSE
56,geography,EASY,Which ocean borders the west coast of the USA. ,Indian Ocean,FALSE,Pacific Ocean,TRUE,Atlantic Ocean,FALSE,Arctic Ocean,FALSE
57,geography,EASY,What is the largest country in South America. ,Chile,FALSE,Brazil,FALSE,Argentina,TRUE,Peru,FALSE
58,geography,EASY,What is the capital of Vietnam. ,Manila,FALSE,Hanoi,TRUE,Bangkok,FALSE,Ho Chi Minh City,FALSE
